Geography,Cases
"Monterey County, California","2,216"
"Napa County, California",507
"Nevada County, California",180
"Orange County, California","11,373"
"Placer County, California",946
"Plumas County, California",17
"Riverside County, California","11,868"
"Sacramento County, California","8,196"
"San Benito County, California",150
"San Bernardino County, California","12,229"
"San Diego County, California","18,102"
"San Francisco County, California","6,475"
"San Joaquin County, California","4,174"
"San Luis Obispo County, California",818
"San Mateo County, California","2,499"
"Santa Barbara County, California","1,749"
"Santa Clara County, California","5,769"
"Santa Cruz County, California","1,012"
"Shasta County, California",498
"Sierra County, California",2
"Siskiyou County, California",102
"Solano County, California","2,164"
"Sonoma County, California","1,793"
"Stanislaus County, California","2,264"
"Sutter County, California",275
"Tehama County, California",213
"Trinity County, California",20
"Tulare County, California","2,917"
"Tuolumne County, California",112
"Ventura County, California","3,010"
"Yolo County, California","1,010"
"Yuba County, California",330
"Adams County, Colorado","3,122"
"Alamosa County, Colorado",94
"Arapahoe County, Colorado","3,550"
"Archuleta County, Colorado",22
"Baca County, Colorado",4
"Bent County, Colorado",16
"Boulder County, Colorado","1,054"
"Broomfield County, Colorado",200
"Chaffee County, Colorado",21
"Cheyenne County, Colorado",2
"Clear Creek County, Colorado",17
"Conejos County, Colorado",13
"Costilla County, Colorado",8
"Crowley County, Colorado",12
"Custer County, Colorado",4
"Delta County, Colorado",67
"Denver County, Colorado","6,405"
"Dolores County, Colorado",6
"Douglas County, Colorado",705
"Eagle County, Colorado",175
"Elbert County, Colorado",48
"El Paso County, Colorado","3,589"
"Fremont County, Colorado",108
"Garfield County, Colorado",226
"Gilpin County, Colorado",9
"Grand County, Colorado",42
"Gunnison County, Colorado",49
"Hinsdale County, Colorado",3
"Huerfano County, Colorado",11
"Jackson County, Colorado",0
"Jefferson County, Colorado","1,727"
"Kiowa County, Colorado",1
"Kit Carson County, Colorado",19
"Lake County, Colorado",38
"La Plata County, Colorado",175
"Larimer County, Colorado","1,199"
"Las Animas County, Colorado",48
"Lincoln County, Colorado",7
"Logan County, Colorado",67
"Mesa County, Colorado",568
"Mineral County, Colorado",2
"Moffat County, Colorado",41
"Montezuma County, Colorado",96
"Montrose County, Colorado",117
"Morgan County, Colorado",127
"Otero County, Colorado",73
"Ouray County, Colorado",5
"Park County, Colorado",23
"Phillips County, Colorado",12
"Pitkin County, Colorado",44
"Prowers County, Colorado",52
"Pueblo County, Colorado",990
"Rio Blanco County, Colorado",5
"Rio Grande County, Colorado",44
"Routt County, Colorado",41
"Saguache County, Colorado",26
"San Juan County, Colorado",10
"San Miguel County, Colorado",13
"Sedgwick County, Colorado",0
"Summit County, Colorado",124
"Teller County, Colorado",27
"Washington County, Colorado",6
"Weld County, Colorado","1,312"
"Yuma County, Colorado",25
"Fairfield County, Connecticut",Data suppressed
"Hartford County, Connecticut",Data suppressed
"Litchfield County, Connecticut",Data suppressed
"Middlesex County, Connecticut",Data suppressed
"New Haven County, Connecticut",Data suppressed
"New London County, Connecticut",Data suppressed
"Tolland County, Connecticut",Data suppressed
"Windham County, Connecticut",Data suppressed
"Kent County, Delaware","1,159"
"New Castle County, Delaware","3,126"
"Sussex County, Delaware",892
District Of Columbia,"8,141"
"Alachua County, Florida","2,625"
"Baker County, Florida",170
"Bay County, Florida",873
"Bradford County, Florida",125
"Brevard County, Florida","1,880"
"Broward County, Florida","11,525"
"Calhoun County, Florida",56
"Charlotte County, Florida",326
"Citrus County, Florida",303
"Clay County, Florida",803
"Collier County, Florida","1,168"
"Columbia County, Florida",442
"Desoto County, Florida",123
"Dixie County, Florida",59
"Duval County, Florida","8,047"
"Escambia County, Florida","2,095"
"Flagler County, Florida",264
"Franklin County, Florida",42
"Gadsden County, Florida",430
"Gilchrist County, Florida",75
"Glades County, Florida",36
"Gulf County, Florida",47
"Hamilton County, Florida",128
"Hardee County, Florida",107
"Hendry County, Florida",218
"Hernando County, Florida",529
"Highlands County, Florida",316
"Hillsborough County, Florida","8,794"
"Holmes County, Florida",87
"Indian River County, Florida",457
"Jackson County, Florida",293
"Jefferson County, Florida",60
"Lafayette County, Florida",23
"Lake County, Florida","1,063"
"Lee County, Florida","3,140"
"Leon County, Florida","3,388"
"Levy County, Florida",202
"Liberty County, Florida",39
"Madison County, Florida",125
"Manatee County, Florida","1,590"
"Marion County, Florida","1,531"
"Martin County, Florida",308
"Miami-Dade County, Florida","14,240"
"Monroe County, Florida",218
"Nassau County, Florida",210
"Okaloosa County, Florida","1,019"
"Okeechobee County, Florida",146
"Orange County, Florida","10,406"
"Osceola County, Florida","1,842"
"Palm Beach County, Florida","6,607"
"Pasco County, Florida","1,592"
"Pinellas County, Florida","4,054"
"Polk County, Florida","3,762"
"Putnam County, Florida",415
"St. Johns County, Florida",574
"St. Lucie County, Florida","1,250"
"Santa Rosa County, Florida",501
"Sarasota County, Florida","1,080"
"Seminole County, Florida","1,742"
"Sumter County, Florida",214
"Suwannee County, Florida",200
"Taylor County, Florida",123
"Union County, Florida",80
"Volusia County, Florida","2,061"
"Wakulla County, Florida",147
"Walton County, Florida",311
"Washington County, Florida",167
"Appling County, Georgia",96
"Atkinson County, Georgia",44
"Bacon County, Georgia",37
"Baker County, Georgia",10
"Baldwin County, Georgia",366
"Banks County, Georgia",45
"Barrow County, Georgia",393
"Bartow County, Georgia",413
"Ben Hill County, Georgia",115
"Berrien County, Georgia",103
"Bibb County, Georgia","1,988"
"Bleckley County, Georgia",63
"Brantley County, Georgia",63
"Brooks County, Georgia",80
"Bryan County, Georgia",207
"Bulloch County, Georgia",773
"Burke County, Georgia",169
"Butts County, Georgia",114
"Calhoun County, Georgia",39
"Camden County, Georgia",193
"Candler County, Georgia",68
"Carroll County, Georgia",619
"Catoosa County, Georgia",184
"Charlton County, Georgia",49
"Chatham County, Georgia","2,837"
"Chattahoochee County, Georgia",42
"Chattooga County, Georgia",76
"Cherokee County, Georgia",753
"Clarke County, Georgia","1,128"
"Clay County, Georgia",37
"Clayton County, Georgia","2,955"
"Clinch County, Georgia",44
"Cobb County, Georgia","4,437"
"Coffee County, Georgia",190
"Colquitt County, Georgia",226
"Columbia County, Georgia",630
"Cook County, Georgia",128
"Coweta County, Georgia",539
"Crawford County, Georgia",52
"Crisp County, Georgia",209
"Dade County, Georgia",39
"Dawson County, Georgia",78
"Decatur County, Georgia",280
"Dekalb County, Georgia","6,578"
"Dodge County, Georgia",125
"Dooly County, Georgia",66
"Dougherty County, Georgia","1,116"
"Douglas County, Georgia","1,096"
"Early County, Georgia",119
"Echols County, Georgia",18
"Effingham County, Georgia",278
"Elbert County, Georgia",93
"Emanuel County, Georgia",215
"Evans County, Georgia",86
"Fannin County, Georgia",38
"Fayette County, Georgia",393
"Floyd County, Georgia",561
"Forsyth County, Georgia",518
"Franklin County, Georgia",85
"Fulton County, Georgia","10,909"
"Gilmer County, Georgia",50
"Glascock County, Georgia",9
"Glynn County, Georgia",526
"Gordon County, Georgia",208
"Grady County, Georgia",178
"Greene County, Georgia",95
"Gwinnett County, Georgia","5,385"
"Habersham County, Georgia",162
"Hall County, Georgia",942
"Hancock County, Georgia",76
"Haralson County, Georgia",94
"Harris County, Georgia",143
"Hart County, Georgia",83
"Heard County, Georgia",35
"Henry County, Georgia","1,661"
"Houston County, Georgia","1,227"
"Irwin County, Georgia",45
"Jackson County, Georgia",241
"Jasper County, Georgia",67
"Jeff Davis County, Georgia",73
"Jefferson County, Georgia",138
"Jenkins County, Georgia",39
"Johnson County, Georgia",49
"Jones County, Georgia",109
"Lamar County, Georgia",79
"Lanier County, Georgia",51
"Laurens County, Georgia",403
"Lee County, Georgia",156
"Liberty County, Georgia",553
"Lincoln County, Georgia",21
"Long County, Georgia",76
"Lowndes County, Georgia","1,207"
"Lumpkin County, Georgia",90
"Mcduffie County, Georgia",197
"Mcintosh County, Georgia",69
"Macon County, Georgia",115
"Madison County, Georgia",136
"Marion County, Georgia",36
"Meriwether County, Georgia",101
"Miller County, Georgia",39
"Mitchell County, Georgia",177
"Monroe County, Georgia",76
"Montgomery County, Georgia",51
"Morgan County, Georgia",77
"Murray County, Georgia",118
"Muscogee County, Georgia","1,931"
"Newton County, Georgia",890
"Oconee County, Georgia",71
"Oglethorpe County, Georgia",58
"Paulding County, Georgia",606
"Peach County, Georgia",253
"Pickens County, Georgia",37
"Pierce County, Georgia",84
"Pike County, Georgia",52
"Polk County, Georgia",197
"Pulaski County, Georgia",75
"Putnam County, Georgia",138
"Quitman County, Georgia",11
"Rabun County, Georgia",37
"Randolph County, Georgia",42
"Richmond County, Georgia","2,361"
"Rockdale County, Georgia",801
"Schley County, Georgia",18
"Screven County, Georgia",98
"Seminole County, Georgia",52
"Spalding County, Georgia",458
"Stephens County, Georgia",81
"Stewart County, Georgia",23
"Sumter County, Georgia",306
"Talbot County, Georgia",24
"Taliaferro County, Georgia",10
"Tattnall County, Georgia",123
"Taylor County, Georgia",39
"Telfair County, Georgia",52
"Terrell County, Georgia",83
"Thomas County, Georgia",339
"Tift County, Georgia",289
"Toombs County, Georgia",228
"Towns County, Georgia",20
"Treutlen County, Georgia",29
"Troup County, Georgia",540
"Turner County, Georgia",75
"Twiggs County, Georgia",25
"Union County, Georgia",23
"Upson County, Georgia",150
"Walker County, Georgia",153
"Walton County, Georgia",278
"Ware County, Georgia",322
"Warren County, Georgia",50
"Washington County, Georgia",149
"Wayne County, Georgia",157
"Webster County, Georgia",11
"Wheeler County, Georgia",24
"White County, Georgia",50
"Whitfield County, Georgia",471
"Wilcox County, Georgia",37
"Wilkes County, Georgia",69
"Wilkinson County, Georgia",52
"Worth County, Georgia",91
"Hawaii County, Hawaii",623
"Honolulu County, Hawaii","4,173"
"Kalawao County, Hawaii",Data suppressed
"Kauai County, Hawaii",192
"Maui County, Hawaii",530
"Ada County, Idaho","2,093"
"Adams County, Idaho",7
"Bannock County, Idaho",245
"Bear Lake County, Idaho",4
"Benewah County, Idaho",30
"Bingham County, Idaho",82
"Blaine County, Idaho",38
"Boise County, Idaho",10
"Bonner County, Idaho",67
"Bonneville County, Idaho",350
"Boundary County, Idaho",12
"Butte County, Idaho",6
"Camas County, Idaho",0
"Canyon County, Idaho",983
"Caribou County, Idaho",14
"Cassia County, Idaho",88
"Clark County, Idaho",0
"Clearwater County, Idaho",19
"Custer County, Idaho",2
"Elmore County, Idaho",135
"Franklin County, Idaho",12
"Fremont County, Idaho",13
"Gem County, Idaho",23
"Gooding County, Idaho",47
"Idaho County, Idaho",22
"Jefferson County, Idaho",62
"Jerome County, Idaho",122
"Kootenai County, Idaho",419
"Latah County, Idaho",134
"Lemhi County, Idaho",10
"Lewis County, Idaho",12
"Lincoln County, Idaho",15
"Madison County, Idaho",60
"Minidoka County, Idaho",73
"Nez Perce County, Idaho",148
"Oneida County, Idaho",4
"Owyhee County, Idaho",25
"Payette County, Idaho",53
"Power County, Idaho",20
"Shoshone County, Idaho",32
"Teton County, Idaho",27
"Twin Falls County, Idaho",404
"Valley County, Idaho",30
"Washington County, Idaho",24
"Adams County, Illinois",309
"Alexander County, Illinois",36
"Bond County, Illinois",55
"Boone County, Illinois",162
"Brown County, Illinois",3
"Bureau County, Illinois",58
"Calhoun County, Illinois",2
"Carroll County, Illinois",24
"Cass County, Illinois",71
"Champaign County, Illinois","1,467"
"Christian County, Illinois",74
"Clark County, Illinois",37
"Clay County, Illinois",38
"Clinton County, Illinois",70
"Coles County, Illinois",317
"Cook County, Illinois","39,576"
"Crawford County, Illinois",70
"Cumberland County, Illinois",12
"Dekalb County, Illinois",591
"De Witt County, Illinois",22
"Douglas County, Illinois",63
"Dupage County, Illinois","2,427"
"Edgar County, Illinois",68
"Edwards County, Illinois",10
"Effingham County, Illinois",93
"Fayette County, Illinois",54
"Ford County, Illinois",29
"Franklin County, Illinois",159
"Fulton County, Illinois",69
"Gallatin County, Illinois",6
"Greene County, Illinois",29
"Grundy County, Illinois",134
"Hamilton County, Illinois",14
"Hancock County, Illinois",47
"Hardin County, Illinois",3
"Henderson County, Illinois",15
"Henry County, Illinois",129
"Iroquois County, Illinois",71
"Jackson County, Illinois",569
"Jasper County, Illinois",18
"Jefferson County, Illinois",128
"Jersey County, Illinois",59
"Jo Daviess County, Illinois",47
"Johnson County, Illinois",20
"Kane County, Illinois","2,054"
"Kankakee County, Illinois",581
"Kendall County, Illinois",464
"Knox County, Illinois",202
"Lake County, Illinois","3,070"
"Lasalle County, Illinois",281
"Lawrence County, Illinois",34
"Lee County, Illinois",69
"Livingston County, Illinois",62
"Logan County, Illinois",158
"Mcdonough County, Illinois",172
"Mchenry County, Illinois",644
"Mclean County, Illinois","1,041"
"Macon County, Illinois",946
"Macoupin County, Illinois",129
"Madison County, Illinois","1,214"
"Marion County, Illinois",163
"Marshall County, Illinois",17
"Mason County, Illinois",40
"Massac County, Illinois",41
"Menard County, Illinois",25
"Mercer County, Illinois",34
"Monroe County, Illinois",63
"Montgomery County, Illinois",69
"Morgan County, Illinois",136
"Moultrie County, Illinois",25
"Ogle County, Illinois",107
"Peoria County, Illinois","1,544"
