Geography,Cases
"Kern County, California","2,263"
"Kings County, California",197
"Lake County, California",145
"Lassen County, California",33
"Los Angeles County, California","50,991"
"Madera County, California",261
"Marin County, California",761
"Mariposa County, California",23
"Mendocino County, California",166
"Merced County, California",417
"Modoc County, California",Data suppressed
"Mono County, California",9
"Monterey County, California",764
"Napa County, California",284
"Nevada County, California",133
"Orange County, California","7,325"
"Placer County, California",406
"Plumas County, California",28
"Riverside County, California","10,570"
"Sacramento County, California","4,678"
"San Benito County, California",64
"San Bernardino County, California","5,240"
"San Diego County, California","13,766"
"San Francisco County, California","11,560"
"San Joaquin County, California","1,602"
"San Luis Obispo County, California",398
"San Mateo County, California","1,683"
"Santa Barbara County, California",629
"Santa Clara County, California","3,730"
"Santa Cruz County, California",512
"Shasta County, California",213
"Sierra County, California",Data suppressed
"Siskiyou County, California",63
"Solano County, California","1,370"
"Sonoma County, California","1,445"
"Stanislaus County, California",892
"Sutter County, California",124
"Tehama County, California",53
"Trinity County, California",14
"Tulare County, California",580
"Tuolumne County, California",58
"Ventura County, California","1,244"
"Yolo County, California",346
"Yuba County, California",107
"Adams County, Colorado","1,307"
"Alamosa County, Colorado",27
"Arapahoe County, Colorado","1,728"
"Archuleta County, Colorado",18
"Baca County, Colorado",Data suppressed
"Bent County, Colorado",Data suppressed
"Boulder County, Colorado",496
"Broomfield County, Colorado",12
"Chaffee County, Colorado",24
"Cheyenne County, Colorado",Data suppressed
"Clear Creek County, Colorado",23
"Conejos County, Colorado",5
"Costilla County, Colorado",9
"Crowley County, Colorado",26
"Custer County, Colorado",Data suppressed
"Delta County, Colorado",30
"Denver County, Colorado","5,509"
"Dolores County, Colorado",Data suppressed
"Douglas County, Colorado",301
"Eagle County, Colorado",81
"Elbert County, Colorado",28
"El Paso County, Colorado","1,095"
"Fremont County, Colorado",159
"Garfield County, Colorado",78
"Gilpin County, Colorado",8
"Grand County, Colorado",21
"Gunnison County, Colorado",9
"Hinsdale County, Colorado",Data suppressed
"Huerfano County, Colorado",11
"Jackson County, Colorado",Data suppressed
"Jefferson County, Colorado",945
"Kiowa County, Colorado",Data suppressed
"Kit Carson County, Colorado",6
"Lake County, Colorado",8
"La Plata County, Colorado",67
"Larimer County, Colorado",341
"Las Animas County, Colorado",26
"Lincoln County, Colorado",12
"Logan County, Colorado",44
"Mesa County, Colorado",196
"Mineral County, Colorado",Data suppressed
"Moffat County, Colorado",12
"Montezuma County, Colorado",23
"Montrose County, Colorado",26
"Morgan County, Colorado",34
"Otero County, Colorado",21
"Ouray County, Colorado",Data suppressed
"Park County, Colorado",31
"Phillips County, Colorado",Data suppressed
"Pitkin County, Colorado",21
"Prowers County, Colorado",10
"Pueblo County, Colorado",263
"Rio Blanco County, Colorado",0
"Rio Grande County, Colorado",16
"Routt County, Colorado",30
"Saguache County, Colorado",12
"San Juan County, Colorado",Data suppressed
"San Miguel County, Colorado",6
"Sedgwick County, Colorado",Data suppressed
"Summit County, Colorado",44
"Teller County, Colorado",20
"Washington County, Colorado",Data suppressed
"Weld County, Colorado",292
"Yuma County, Colorado",11
"Fairfield County, Connecticut",Data not available
"Hartford County, Connecticut",Data not available
"Litchfield County, Connecticut",Data not available
"Middlesex County, Connecticut",Data not available
"New Haven County, Connecticut",Data not available
"New London County, Connecticut",Data not available
"Tolland County, Connecticut",Data not available
"Windham County, Connecticut",Data not available
"Kent County, Delaware",509
"New Castle County, Delaware","2,183"
"Sussex County, Delaware",822
District Of Columbia,"13,560"
"Alachua County, Florida","1,045"
"Baker County, Florida",85
"Bay County, Florida",544
"Bradford County, Florida",69
"Brevard County, Florida","1,807"
"Broward County, Florida","20,733"
"Calhoun County, Florida",21
"Charlotte County, Florida",367
"Citrus County, Florida",258
"Clay County, Florida",431
"Collier County, Florida","1,076"
"Columbia County, Florida",420
"Desoto County, Florida",145
"Dixie County, Florida",42
"Duval County, Florida","6,614"
"Escambia County, Florida","1,311"
"Flagler County, Florida",262
"Franklin County, Florida",18
"Gadsden County, Florida",258
"Gilchrist County, Florida",27
"Glades County, Florida",112
"Gulf County, Florida",28
"Hamilton County, Florida",140
"Hardee County, Florida",61
"Hendry County, Florida",146
"Hernando County, Florida",476
"Highlands County, Florida",279
"Hillsborough County, Florida","7,659"
"Holmes County, Florida",23
"Indian River County, Florida",426
"Jackson County, Florida",373
"Jefferson County, Florida",96
"Lafayette County, Florida",14
"Lake County, Florida","1,104"
"Lee County, Florida","2,397"
"Leon County, Florida","1,328"
"Levy County, Florida",95
"Liberty County, Florida",13
"Madison County, Florida",99
"Manatee County, Florida","1,209"
"Marion County, Florida","1,162"
"Martin County, Florida",396
"Miami-Dade County, Florida","27,967"
"Monroe County, Florida",530
"Nassau County, Florida",150
"Okaloosa County, Florida",491
"Okeechobee County, Florida",110
"Orange County, Florida","9,604"
"Osceola County, Florida","1,648"
"Palm Beach County, Florida","8,397"
"Pasco County, Florida","1,414"
"Pinellas County, Florida","4,954"
"Polk County, Florida","2,951"
"Putnam County, Florida",259
"St. Johns County, Florida",420
"St. Lucie County, Florida","1,838"
"Santa Rosa County, Florida",316
"Sarasota County, Florida","1,101"
"Seminole County, Florida","1,362"
"Sumter County, Florida",302
"Suwannee County, Florida",186
"Taylor County, Florida",111
"Union County, Florida",228
"Volusia County, Florida","1,972"
"Wakulla County, Florida",124
"Walton County, Florida",109
"Washington County, Florida",167
"Appling County, Georgia",50
"Atkinson County, Georgia",23
"Bacon County, Georgia",50
"Baker County, Georgia",5
"Baldwin County, Georgia",169
"Banks County, Georgia",27
"Barrow County, Georgia",160
"Bartow County, Georgia",242
"Ben Hill County, Georgia",46
"Berrien County, Georgia",57
"Bibb County, Georgia","1,378"
"Bleckley County, Georgia",50
"Brantley County, Georgia",21
"Brooks County, Georgia",65
"Bryan County, Georgia",59
"Bulloch County, Georgia",272
"Burke County, Georgia",98
"Butts County, Georgia",205
"Calhoun County, Georgia",58
"Camden County, Georgia",98
"Candler County, Georgia",24
"Carroll County, Georgia",300
"Catoosa County, Georgia",49
"Charlton County, Georgia",62
"Chatham County, Georgia","1,884"
"Chattahoochee County, Georgia",13
"Chattooga County, Georgia",63
"Cherokee County, Georgia",461
"Clarke County, Georgia",463
"Clay County, Georgia",12
"Clayton County, Georgia","2,630"
"Clinch County, Georgia",23
"Cobb County, Georgia","3,779"
"Coffee County, Georgia",131
"Colquitt County, Georgia",205
"Columbia County, Georgia",295
"Cook County, Georgia",72
"Coweta County, Georgia",321
"Crawford County, Georgia",26
"Crisp County, Georgia",131
"Dade County, Georgia",14
"Dawson County, Georgia",41
"Decatur County, Georgia",155
"Dekalb County, Georgia","9,186"
"Dodge County, Georgia",114
"Dooly County, Georgia",72
"Dougherty County, Georgia",791
"Douglas County, Georgia",741
"Early County, Georgia",29
"Echols County, Georgia",6
"Effingham County, Georgia",93
"Elbert County, Georgia",36
"Emanuel County, Georgia",71
"Evans County, Georgia",49
"Fannin County, Georgia",48
"Fayette County, Georgia",257
"Floyd County, Georgia",251
"Forsyth County, Georgia",200
"Franklin County, Georgia",58
"Fulton County, Georgia","16,396"
"Gilmer County, Georgia",55
"Glascock County, Georgia",6
"Glynn County, Georgia",354
"Gordon County, Georgia",78
"Grady County, Georgia",63
"Greene County, Georgia",38
"Gwinnett County, Georgia","3,526"
"Habersham County, Georgia",47
"Hall County, Georgia",367
"Hancock County, Georgia",49
"Haralson County, Georgia",35
"Harris County, Georgia",51
"Hart County, Georgia",38
"Heard County, Georgia",18
"Henry County, Georgia","1,167"
"Houston County, Georgia",464
"Irwin County, Georgia",77
"Jackson County, Georgia",116
"Jasper County, Georgia",21
"Jeff Davis County, Georgia",31
"Jefferson County, Georgia",52
"Jenkins County, Georgia",33
"Johnson County, Georgia",58
"Jones County, Georgia",27
"Lamar County, Georgia",43
"Lanier County, Georgia",26
"Laurens County, Georgia",184
"Lee County, Georgia",64
"Liberty County, Georgia",257
"Lincoln County, Georgia",19
"Long County, Georgia",29
"Lowndes County, Georgia",654
"Lumpkin County, Georgia",28
"Mcduffie County, Georgia",54
"Mcintosh County, Georgia",51
"Macon County, Georgia",58
"Madison County, Georgia",44
"Marion County, Georgia",16
