,Geography,Cases
2231,"Marion County, Oregon",11
2233,"Multnomah County, Oregon",31
2241,"Washington County, Oregon",14
2245,"Allegheny County, Pennsylvania",15
2252,"Bucks County, Pennsylvania",5
2258,"Chester County, Pennsylvania",8
2265,"Dauphin County, Pennsylvania",11
2266,"Delaware County, Pennsylvania",11
2278,"Lackawanna County, Pennsylvania",7
2279,"Lancaster County, Pennsylvania",9
2281,"Lebanon County, Pennsylvania",5
2282,"Lehigh County, Pennsylvania",9
2289,"Montgomery County, Pennsylvania",13
2294,"Philadelphia County, Pennsylvania",44
2310,"York County, Pennsylvania",6
2314,"Providence County, Rhode Island",14
2323,"Berkeley County, South Carolina",5
2325,"Charleston County, South Carolina",7
2336,"Florence County, South Carolina",24
2338,"Greenville County, South Carolina",9
2341,"Horry County, South Carolina",9
2347,"Lexington County, South Carolina",7
2355,"Richland County, South Carolina",5
2410,"Minnehaha County, South Dakota",6
2446,"Davidson County, Tennessee",31
2502,"Rutherford County, Tennessee",8
2506,"Shelby County, Tennessee",26
2517,"Washington County, Tennessee",6
2521,"Williamson County, Tennessee",6
2533,"Bastrop County, Texas",5
2536,"Bell County, Texas",6
2537,"Bexar County, Texas",62
2542,"Brazoria County, Texas",9
2553,"Cameron County, Texas",45
2565,"Collin County, Texas",35
2568,"Comal County, Texas",5
2579,"Dallas County, Texas",121
2583,"Denton County, Texas",23
2593,"El Paso County, Texas",27
2601,"Fort Bend County, Texas",20
2604,"Frio County, Texas",47
2606,"Galveston County, Texas",12
2617,"Hale County, Texas",5
2623,"Harris County, Texas",266
2630,"Hidalgo County, Texas",49
2645,"Jefferson County, Texas",15
2668,"Liberty County, Texas",5
2684,"Maverick County, Texas",15
2692,"Montgomery County, Texas",22
2700,"Nueces County, Texas",11
2734,"Smith County, Texas",5
2736,"Starr County, Texas",7
2742,"Tarrant County, Texas",52
2749,"Travis County, Texas",48
2758,"Walker County, Texas",14
2762,"Webb County, Texas",32
2767,"Willacy County, Texas",5
2768,"Williamson County, Texas",11
2794,"Salt Lake County, Utah",21
2826,"Arlington County, Virginia",9
2848,"Fairfax County, Virginia",55
